state_fipcode,county_lookup,county_fipcode,city_lookup,city_fipcode
02,WADE HAMPTON,C270,ALAKANUK,0070
37,ALAMANCE,C001,ALAMANCE,0056
06,ALAMEDA,C001,ALAMEDA,0010
35,BERNALILLO,C001,ALAMEDA,0010
38,WILLIAMS,C105,ALAMO,0030
26,KALAMAZOO,C077,ALAMO,0047
47,CROCKETT,C033,ALAMO,0020
06,CONTRA COSTA,C013,ALAMO,0015
48,HIDALGO,C215,ALAMO,0050
13,WHEELER,C309,ALAMO,0070
32,LINCOLN,C017,ALAMO,0005
18,MONTGOMERY,C107,ALAMO,0040
48,BEXAR,C029,ALAMO HEIGHTS,0060
35,OTERO,C035,ALAMOGORDO,0020
08,ALAMOSA,C003,ALAMOSA,0030
20,LANE,C101,ALAMOTA,0057
48,GRAY,C179,ALANREED,0065
26,EMMET,C047,ALANSON,0050
13,BERRIEN,C019,ALAPAHA,0080
55,KEWAUNEE,C061,ALASKA,0039
29,JASPER,C097,ALBA,0050
26,ANTRIM,C009,ALBA,0052
48,WOOD,C499,ALBA,0070
22,LIVINGSTON,C063,ALBANY,0035
27,STEARNS,C145,ALBANY,0070
06,ALAMEDA,C001,ALBANY,0020
55,GREEN,C045,ALBANY,0040
48,SHACKELFORD,C417,ALBANY,0080
39,ATHENS,C009,ALBANY,0080
40,BRYAN,C013,ALBANY,0066
21,CLINTON,C053,ALBANY,0040
36,ALBANY,C001,ALBANY,0050
13,DOUGHERTY,C095,ALBANY,0090
41,LINN,C043,ALBANY,0020
33,CARROLL,C003,ALBANY,0001
50,ORLEANS,C019,ALBANY,0010
29,GENTRY,C075,ALBANY,0060
17,WHITESIDE,C195,ALBANY,0040
56,ALBANY,C001,ALBANY,0015
18,DELAWARE,C035,ALBANY,0050
46,GRANT,C051,ALBEE,0040
37,STANLY,C167,ALBEMARLE,0060
17,CLINTON,C027,ALBERS,0045
48,GILLESPIE,C171,ALBERT,0083
40,CADDO,C015,ALBERT,0068
20,BARTON,C009,ALBERT,0060
19,BUENA VISTA,C021,ALBERT CITY,0090
27,FREEBORN,C047,ALBERT LEA,0090
26,BARAGA,C013,ALBERTA,0054
51,BRUNSWICK,C025,ALBERTA,0030
27,STEVENS,C149,ALBERTA,0080
01,WILCOX,C131,ALBERTA,0048
30,MINERAL,C061,ALBERTON,0010
37,DUPLIN,C061,ALBERTSON,0063
36,NASSAU,C059,ALBERTSON,0055
01,MARSHALL,C095,ALBERTVILLE,0050
27,WRIGHT,C171,ALBERTVILLE,0100
19,MONROE,C135,ALBIA,0100
56,LARAMIE,C021,ALBIN,0020
31,BOONE,C011,ALBION,0040
42,ERIE,C049,ALBION,0050
36,ORLEANS,C073,ALBION,0060
55,DANE,C025,ALBION,0042
53,WHITMAN,C075,ALBION,0030
06,MENDOCINO,C045,ALBION,0021
17,EDWARDS,C047,ALBION,0050
26,CALHOUN,C025,ALBION,0060
18,NOBLE,C113,ALBION,0060
19,MARSHALL,C127,ALBION,0110
44,PROVIDENCE,C007,ALBION,0002
16,CASSIA,C031,ALBION,0030
23,KENNEBEC,C011,ALBION,0007
40,PUSHMATAHA,C127,ALBION,0070
27,ST LOUIS,C137,ALBORN,0108
54,PRESTON,C077,ALBRIGHT,0030
42,CARBON,C025,ALBRIGHTSVILLE,0055
35,BERNALILLO,C001,ALBUQUERQUE,0030
50,GRAND ISLE,C013,ALBURG,0020
50,GRAND ISLE,C013,ALBURG SPRINGS,0025
19,LINN,C113,ALBURNETT,0120
42,LEHIGH,C077,ALBURTIS,0060
35,RIO ARRIBA,C039,ALCALDE,0031
46,UNION,C127,ALCESTER,0050
22,VERNON,C115,ALCO,0037
05,STONE,C137,ALCO,0018
47,BLOUNT,C009,ALCOA,0030
42,WESTMORELAND,C129,ALCOA CENTER,0064
45,CLARENDON,C027,ALCOLU,0027
28,CLAIBORNE,C021,ALCORN COLLEGE,0025
56,NATRONA,C025,ALCOVA,0022
36,ALBANY,C001,ALCOVE,0065
31,HALL,C079,ALDA,0050
42,DELAWARE,C045,ALDAN,0070
27,FREEBORN,C047,ALDEN,0110
20,RICE,C159,ALDEN,0070
26,ANTRIM,C009,ALDEN,0062
17,MCHENRY,C111,ALDEN,0059
19,HARDIN,C083,ALDEN,0130
36,ERIE,C029,ALDEN,0070
42,WAYNE,C127,ALDENVILLE,0072
30,MADISON,C057,ALDER,0005
53,PIERCE,C053,ALDER,0034
36,ONEIDA,C065,ALDER CREEK,0072
06,FRESNO,C019,ALDER SPRINGS,0026
06,HUMBOLDT,C023,ALDERPOINT,0025
40,PITTSBURG,C121,ALDERSON,0080
54,GREENBRIER,C025,ALDERSON,0040
54,MONROE,C063,ALDERSON,0040
53,SNOHOMISH,C061,ALDERWOOD MANOR,0035
51,LOUDOUN,C107,ALDIE,0035
13,LAMAR,C171,ALDORA,0100
27,WADENA,C159,ALDRICH,0120
29,POLK,C167,ALDRICH,0070
48,PARKER,C367,ALEDO,0085
17,MERCER,C131,ALEDO,0060
02,DILLINGHAM,C070,ALEKNAGIK,0090
42,GREENE,C059,ALEPPO,0075
40,GRADY,C051,ALEX,0090
36,GENESEE,C037,ALEXANDER,0080
02,MATANUSKA SUSITNA,C170,ALEXANDER,0092
23,WASHINGTON,C029,ALEXANDER,0009
17,MORGAN,C137,ALEXANDER,0065
38,MCKENZIE,C053,ALEXANDER,0040
05,SALINE,C125,ALEXANDER,0020
05,PULASKI,C119,ALEXANDER,0020
13,BURKE,C033,ALEXANDER,0102
54,UPSHUR,C097,ALEXANDER,0045
20,RUSH,C165,ALEXANDER,0080
37,BUNCOMBE,C021,ALEXANDER,0068
19,FRANKLIN,C069,ALEXANDER,0140
01,TALLAPOOSA,C123,ALEXANDER CITY,0060
37,RUTHERFORD,C161,ALEXANDER MILLS,0070
02,YUKON KOYUKUK,C290,ALEXANDERS VILLAGE,0094
42,HUNTINGDON,C061,ALEXANDRIA,0080
31,THAYER,C169,ALEXANDRIA,0060
21,CAMPBELL,C037,ALEXANDRIA,0050
47,DE KALB,C041,ALEXANDRIA,0040
39,LICKING,C089,ALEXANDRIA,0090
46,HANSON,C061,ALEXANDRIA,0060
22,RAPIDES,C079,ALEXANDRIA,0040
01,CALHOUN,C015,ALEXANDRIA,0062
27,DOUGLAS,C041,ALEXANDRIA,0130
18,MADISON,C095,ALEXANDRIA,0070
51,ALEXANDRIA,C510,ALEXANDRIA,0040
29,CLARK,C045,ALEXANDRIA,0080
33,GRAFTON,C009,ALEXANDRIA,0008
22,RAPIDES,C079,ALEXANDRIA AFB,0041
36,JEFFERSON,C045,ALEXANDRIA BAY,0090
17,WARREN,C187,ALEXIS,0070
37,GASTON,C071,ALEXIS,0072
17,MERCER,C131,ALEXIS,0070
51,LANCASTER,C103,ALFONSO,0045
12,JACKSON,C063,ALFORD,0020
25,BERKSHIRE,C003,ALFORD,0018
18,DAVIESS,C027,ALFORDSVILLE,0080
23,YORK,C031,ALFRED,0010
38,LA MOURE,C045,ALFRED,0042
36,ALLEGANY,C003,ALFRED,0100
36,ALLEGANY,C003,ALFRED STATION,0101
39,HARDIN,C065,ALGER,0100
26,ARENAC,C011,ALGER,0069
05,JACKSON,C067,ALGOA,0030
35,SANDOVAL,C043,ALGODONES,0029
28,PONTOTOC,C115,ALGOMA,0029
55,KEWAUNEE,C061,ALGOMA,0050
54,MCDOWELL,C047,ALGOMA,0050
53,KING,C033,ALGONA,0036
19,KOSSUTH,C109,ALGONA,0150
26,ST CLAIR,C147,ALGONAC,0070
17,MCHENRY,C111,ALGONQUIN,0080
17,KANE,C089,ALGONQUIN,0080
47,PUTNAM,C141,ALGOOD,0050
06,LOS ANGELES,C037,ALHAMBRA,0030
17,MADISON,C119,ALHAMBRA,0090
48,JIM WELLS,C249,ALICE,0090
38,CASS,C017,ALICE,0050
48,JIM WELLS,C249,ALICE SOUTHWEST,0089
41,UNION,C061,ALICEL,0021
01,PICKENS,C107,ALICEVILLE,0070
20,COFFEY,C031,ALICEVILLE,0081
05,LAWRENCE,C075,ALICIA,0040
48,HARRIS,C201,ALIEF,0091
40,ALFALFA,C003,ALINE,0100
42,BEAVER,C007,ALIQUIPPA,0090
06,LOS ANGELES,C037,ALISO VIEJO,0029
06,MADERA,C039,ALISO VIEJO,0029
02,KODIAK ISLAND,C150,ALITAK,0096
05,FRANKLIN,C047,ALIX,0045
38,DIVIDE,C023,ALKABO,0055
54,LINCOLN,C043,ALKOL,0053
34,MONMOUTH,C025,ALLAIRE,0017
02,YUKON KOYUKUK,C290,ALLAKAKET,0100
34,WARREN,C041,ALLAMUCHY,0018
47,FENTRESS,C049,ALLARDT,0056
39,BELMONT,C013,ALLEDONIA,0103
05,LITTLE RIVER,C081,ALLEENE,0047
26,ALLEGAN,C005,ALLEGAN,0080
41,COOS,C011,ALLEGANY,0022
36,CATTARAUGUS,C009,ALLEGANY,0110
06,SIERRA,C091,ALLEGHANY,0031
21,TODD,C219,ALLEGRE,0052
19,POLK,C153,ALLEMAN,0157
20,LYON,C111,ALLEN,0090
48,COLLIN,C085,ALLEN,0092
01,CLARKE,C025,ALLEN,0072
21,FLOYD,C071,ALLEN,0060
24,WICOMICO,C045,ALLEN,0023
46,BENNETT,C007,ALLEN,0065
40,HUGHES,C063,ALLEN,0110
40,PONTOTOC,C123,ALLEN,0110
31,DIXON,C051,ALLEN,0070
26,HILLSDALE,C059,ALLEN,0089
54,WYOMING,C109,ALLEN JUNCTION,0054
26,WAYNE,C163,ALLEN PARK,0090
26,OTTAWA,C139,ALLENDALE,0088
18,VIGO,C167,ALLENDALE,0085
29,WORTH,C227,ALLENDALE,0090
34,BERGEN,C003,ALLENDALE,0020
17,WABASH,C185,ALLENDALE,0100
45,ALLENDALE,C005,ALLENDALE,0030
34,MONMOUTH,C025,ALLENHURST,0030
13,LIBERTY,C179,ALLENHURST,0105
42,WASHINGTON,C125,ALLENPORT,0100
08,BOULDER,C013,ALLENSPARK,0015
33,MERRIMACK,C013,ALLENSTOWN,0053
21,TODD,C219,ALLENSVILLE,0070
39,VINTON,C163,ALLENSVILLE,0106
42,MIFFLIN,C087,ALLENSVILLE,0114
01,WILCOX,C131,ALLENTON,0073
26,ST CLAIR,C147,ALLENTON,0091
29,ST LOUIS,C510,ALLENTON,0092
55,WASHINGTON,C131,ALLENTON,0055
29,ST LOUIS,C189,ALLENTON,0092
34,MONMOUTH,C025,ALLENTOWN,0040
42,LEHIGH,C077,ALLENTOWN,0110
13,TWIGGS,C289,ALLENTOWN,0108
36,ALLEGANY,C003,ALLENTOWN,0115
13,WILKINSON,C319,ALLENTOWN,0108
26,MACKINAC,C097,ALLENVILLE,0092
17,MOULTRIE,C139,ALLENVILLE,0105
42,UNION,C119,ALLENWOOD,0115
34,MONMOUTH,C025,ALLENWOOD,0041
17,CHAMPAIGN,C019,ALLERTON,0108
19,WAYNE,C185,ALLERTON,0160
17,VERMILION,C183,ALLERTON,0108
01,BLOUNT,C009,ALLGOOD,0074
31,BOX BUTTE,C013,ALLIANCE,0080
37,PAMLICO,C137,ALLIANCE,0073
39,STARK,C151,ALLIANCE,0110
28,BOLIVAR,C011,ALLIGATOR,0030
35,MCKINLEY,C031,ALLISON,0026
19,BUTLER,C023,ALLISON,0170
05,STONE,C137,ALLISON,0046
42,FAYETTE,C051,ALLISON,0120
48,WHEELER,C483,ALLISON,0095
51,SMYTH,C173,ALLISON GAP,0050
42,ALLEGHENY,C003,ALLISON PARK,0121
51,PULASKI,C155,ALLISONIA,0051
18,MARION,C097,ALLISONVILLE,0087
21,PERRY,C193,ALLOCK,0080
47,OVERTON,C133,ALLONS,0060
26,KEWEENAW,C083,ALLOUEZ,0097
55,BROWN,C009,ALLOUEZ,0060
34,SALEM,C033,ALLOWAY,0045
54,FAYETTE,C019,ALLOY,0055
42,CLEARFIELD,C033,ALLPORT,0122
05,LAWRENCE,C075,ALLPORT,0048
47,OVERTON,C133,ALLRED,0062
22,ST BERNARD,C087,ALLUVIAL CITY,0043
40,NOWATA,C105,ALLUWE,0111
53,MASON,C045,ALLYN,0038
17,MARION,C121,ALMA,0110
26,GRATIOT,C057,ALMA,0100
36,ALLEGANY,C003,ALMA,0117
08,PARK,C093,ALMA,0040
13,BACON,C005,ALMA,0110
48,ELLIS,C139,ALMA,0096
29,LAFAYETTE,C107,ALMA,0100
37,ROBESON,C155,ALMA,0076
05,CRAWFORD,C033,ALMA,0050
20,WABAUNSEE,C197,ALMA,0100
40,STEPHENS,C137,ALMA,0112
54,TYLER,C095,ALMA,0057
01,CLARKE,C025,ALMA,0076
55,BUFFALO,C011,ALMA,0070
31,HARLAN,C083,ALMA,0090
55,JACKSON,C053,ALMA CENTER,0080
06,PLUMAS,C063,ALMANOR,0032
06,PLUMAS,C063,ALMANOR PENINSULA,0033
27,CHISAGO,C025,ALMELUND,0135
55,BARRON,C005,ALMENA,0090
20,NORTON,C137,ALMENA,0110
31,CUSTER,C041,ALMERIA,0155
31,LOUP,C115,ALMERIA,0150
53,LINCOLN,C043,ALMIRA,0040
